r2,mae,nmae,mse,rmse,rmspe,rae,mape,target
0.785,572.658,27.179000000000002,512420.22799999994,715.742,0.40399999999999997,49.412,0.28600000000000003,pporto
0.568,797.837,21.859,1023758.787,1011.695,0.28600000000000003,49.405,0.218,pguima
0.6609999999999999,354.69699999999995,23.366,201585.30899999998,448.836,0.28800000000000003,48.881,0.209,sporto
0.312,63.07,22.445,6670.205,81.65899999999999,0.33799999999999997,50.885,0.263,spovoa
0.652,13.970999999999998,22.176,347.32,18.634,0.41100000000000003,54.339,0.294,sbarce
0.79,623.553,20.566,654041.429,808.679,0.486,50.871,0.314,sfama
0.927,1256.6580000000001,23.533,3453700.106,1858.381,0.856,47.42100000000001,0.534,sbraga
0.9,106.43299999999999,32.749,17194.191000000003,131.123,0.8390000000000001,47.77,0.5920000000000001,sguima
