r2,mae,nmae,mse,rmse,rmspe,rae,mape,target
-0.71,610.58,28.979,507383.657,712.309,0.393,1.386,0.301,pporto
-0.423,794.59,21.77,941316.076,970.214,0.269,1.295,0.214,pguima
-0.659,384.088,25.302,208375.348,456.481,0.291,1.393,0.224,sporto
-2.923,105.243,37.453,14867.076,121.931,0.437,2.234,0.406,spovoa
-0.699,13.482,21.4,306.062,17.495,0.359,1.38,0.279,sbarce
-0.559,662.427,21.848,633679.183,796.04,0.453,1.422,0.326,sfama
-0.569,1344.61,25.18,2771947.384,1664.917,0.856,1.335,0.637,sbraga
-0.018,79.28,24.394,9176.197,95.792,0.488,0.936,0.395,sguima
