r2,mae,nmae,mse,rmse,rmspe,rae,mape,target
0.752,207.25,9.836,73683.696,271.447,0.111,0.47100000000000003,0.08900000000000001,pporto
0.585,408.26199999999994,11.185,274763.548,524.179,0.132,0.665,0.106,pguima
0.6759999999999999,167.079,11.005999999999998,40683.058,201.7,0.105,0.606,0.08900000000000001,sporto
0.38,35.995,12.81,2349.9,48.476000000000006,0.19399999999999998,0.764,0.147,spovoa
0.035,9.897,15.709000000000001,173.903,13.187000000000001,0.253,1.013,0.19699999999999998,sbarce
0.5710000000000001,326.13,10.755999999999998,174568.88600000003,417.814,0.159,0.7,0.135,sfama
0.9520000000000001,202.61599999999999,3.7939999999999996,84029.145,289.878,0.162,0.201,0.10400000000000001,sbraga
0.907,23.965,7.374,839.562,28.975,0.147,0.28300000000000003,0.121,sguima
