r2,mae,nmae,mse,rmse,rmspe,rae,mape,target
0.738,214.137,10.163,77733.387,278.807,0.114,0.486,0.092,pporto
0.6,405.529,11.11,264882.072,514.6669999999999,0.13,0.6609999999999999,0.106,pguima
0.6990000000000001,155.66899999999998,10.255,37849.169,194.549,0.10099999999999999,0.565,0.084,sporto
0.375,36.193000000000005,12.88,2367.953,48.662,0.193,0.768,0.147,spovoa
0.32799999999999996,8.154,12.942,121.04899999999999,11.002,0.21100000000000002,0.835,0.162,sbarce
0.617,304.222,10.033999999999999,155729.024,394.625,0.156,0.653,0.128,sfama
0.951,203.114,3.804,85862.796,293.024,0.161,0.20199999999999999,0.10400000000000001,sbraga
0.805,34.961,10.757,1753.6879999999999,41.876999999999995,0.247,0.413,0.19,sguima
