r2,mae,nmae,mse,rmse,rmspe,rae,mape,target
0.195,671.6089999999999,15.042,627101.639,791.8969999999999,0.33299999999999996,0.968,0.256,pporto
-0.125,564.447,15.452,586482.341,765.821,0.275,0.963,0.184,pguima
-0.302,328.67900000000003,17.418,168389.322,410.353,0.27899999999999997,1.153,0.195,sporto
0.588,55.461999999999996,9.713,5983.956999999999,77.35600000000001,0.306,0.564,0.223,spovoa
0.382,21.816999999999997,9.128,951.7189999999999,30.85,0.386,0.7290000000000001,0.263,sbarce
0.462,366.505,10.802,219269.305,468.26199999999994,0.354,0.6920000000000001,0.25,sfama
-0.324,1118.205,18.117,2236578.486,1495.519,0.7559999999999999,1.1540000000000001,0.506,sbraga
0.048,83.06200000000001,22.945,8995.159,94.84299999999999,0.601,0.966,0.45299999999999996,sguima
