r2,mae,nmae,mse,rmse,rmspe,rae,mape,target
0.747,651.736,31.079,843755.192,918.561,2.197,1.2429999999999999,1.531,pporto
0.48200000000000004,1265.641,26.313000000000002,2999030.102,1731.771,4.061,1.599,3.3510000000000004,pguima
0.583,557.816,28.813000000000002,624795.374,790.44,2.7880000000000003,1.614,2.269,sporto
0.314,72.02199999999999,20.345,10141.271,100.704,4.861000000000001,1.0959999999999999,3.352,spovoa
0.555,18.175,23.915,609.9169999999999,24.697,17215383891.146,1.099,5443982390.616,sbarce
0.355,910.793,40.953,1234960.938,1111.288,11.429,1.4780000000000002,6.332999999999999,sfama
0.672,1760.3120000000001,24.451999999999998,6112323.649,2472.311,5.519,1.546,3.446,sbraga
0.395,60.428999999999995,26.621,6575.485,81.089,1.16,0.889,0.992,sguima
