Data Type,Row Count,Missing Values,Unique Values,mean,std,min,25%,50%,75%,max
int64,187,0,181,2962.305,878.968,1153.0,2361.5,2876.0,3467.5,5618.0
int64,187,0,183,3262.61,728.357,1954.0,2748.0,3134.0,3741.0,5725.0
int64,187,0,171,1867.46,359.813,985.0,1660.0,1839.0,2127.0,2872.0
int64,187,0,145,245.636,121.391,85.0,143.5,220.0,315.5,662.0
float64,185,2,96,90.395,39.175,28.0,63.0,86.0,112.0,267.0
int64,187,0,180,1664.064,648.98,464.0,1138.5,1596.0,2144.0,3923.0
int64,187,0,176,2402.417,1295.112,1070.0,1605.0,1874.0,2549.0,7242.0
int64,187,0,155,232.219,97.353,51.0,143.0,227.0,324.0,413.0
