r2,mae,nmae,mse,rmse,rmspe,rae,mape,target
-0.237,409.516,19.436,349874.869,591.502,0.444,0.952,0.246,pporto
-0.311,763.167,20.909,866669.127,930.951,0.256,1.258,0.205,pguima
-0.032,251.319,16.556,130967.076,361.894,0.296,0.915,0.165,sporto
-0.82,62.574,22.268,6948.419,83.357,0.443,1.332,0.287,spovoa
-3.135,24.061,38.191,764.808,27.655,0.769,2.476,0.586,sbarce
-0.154,522.979,18.819,412796.158,642.492,0.414,1.182,0.269,sfama
0.223,833.999,15.618,1429131.773,1195.463,0.631,0.801,0.378,sbraga
0.576,47.385,14.58,3785.683,61.528,0.368,0.561,0.255,sguima
