r2,mae,nmae,mse,rmse,rmspe,rae,mape,target
0.536,285.007,13.527,137611.217,370.96,0.158,0.647,0.124,pporto
0.593,442.787,12.131,269288.243,518.93,0.142,0.722,0.121,pguima
0.602,182.997,12.055,49966.573,223.532,0.12,0.664,0.1,sporto
-0.018,49.454,17.599,3859.27,62.123,0.244,1.05,0.201,spovoa
-0.355,11.716,18.597,244.138,15.625,0.276,1.199,0.223,sbarce
0.598,312.004,10.29,163476.428,404.322,0.193,0.67,0.142,sfama
0.936,253.507,4.747,113045.679,336.223,0.206,0.252,0.132,sbraga
0.901,25.007,7.695,893.02,29.883,0.161,0.295,0.13,sguima
